pdbid,logKd-Ki,Delta_H0 (kJ/mol),Delta_H0 (kJ/mol)
4b0j,2.15,4.74,4.74
2ay9,2.16,4.74,4.74
4amx,2.19,4.74,4.74
4jdf,2.19,4.74,4.74
1w1v,2.2,4.74,4.74
2vvo,2.2,4.74,4.74
4eh8,2.2,4.74,4.74
1icj,2.22,4.74,4.74
4uru,2.22,4.74,4.74
1rdl,2.24,4.74,4.74
2os9,2.24,4.74,4.74
1ukt,2.25,4.74,4.74
4eh9,2.26,4.74,4.74
1hge,2.27,4.74,4.74
4mfe,2.27,4.74,4.74
3fu0,2.28,4.74,4.74
2ay1,2.29,4.74,4.74
4ehv,2.29,4.74,4.74
1hyv,2.3,4.74,4.74
1inh,2.3,4.74,4.74
1jdj,2.3,4.74,4.74
1o4g,2.3,4.74,4.74
1uxa,2.3,4.74,4.74
1w1p,2.3,4.74,4.74
2hdu,2.3,4.74,4.74
2xix,2.3,4.74,4.74
2xlc,2.3,4.74,4.74
4e3d,2.3,4.74,4.74
4led,2.3,4.74,4.74
4wh7,2.3,4.74,4.74
2qve,2.32,4.74,4.74
1qi0,2.35,4.74,4.74
4k3k,2.35,4.74,4.74
1o4j,2.36,4.74,4.74
4jck,2.37,4.74,4.74
4aj2,2.38,4.74,4.74
4nyt,2.39,4.74,4.74
4tya,2.39,4.74,4.74
2wi1,2.4,4.74,4.74
3pcb,2.4,4.74,4.74
3t2t,2.4,4.74,4.74
4u5l,2.4,4.74,4.74
4zsm,2.4,4.74,4.74
1o4r,2.41,4.74,4.74
1o4h,2.44,4.74,4.74
1t4s,2.44,4.74,4.74
2xiy,2.44,4.74,4.74
3ked,2.44,4.74,4.74
4d62,2.44,4.74,4.74
1gbq,2.46,4.74,4.74
2aez,2.46,4.74,4.74
4ah9,2.46,4.74,4.74
4eh6,2.46,4.74,4.74
3rik,2.47,4.74,4.74
1o4q,2.49,4.74,4.74
4ej2,2.49,4.74,4.74
4ctj,2.51,4.74,4.74
1wdr,2.52,4.74,4.74
3ad7,2.52,4.74,4.74
3fq7,2.52,4.74,4.74
4e3f,2.52,4.74,4.74
1iup,2.54,4.74,4.74
1il3,2.55,4.74,4.74
1kf0,2.55,4.74,4.74
2ria,2.57,4.74,4.74
2wq4,2.57,4.74,4.74
2ay5,2.59,4.74,4.74
2jst,2.59,4.74,4.74
4o3a,2.59,4.74,4.74
4wef,2.59,4.74,4.74
1o4p,2.6,4.74,4.74
2c4v,2.6,4.74,4.74
3gwv,2.6,4.74,4.74
3rxf,2.6,4.74,4.74
1cze,2.62,4.74,4.74
1w1y,2.62,4.74,4.74
2kfh,2.62,4.74,4.74
3f38,2.62,4.74,4.74
3rxl,2.62,4.74,4.74
4lnf,2.62,4.74,4.74
1g5f,2.64,4.74,4.74
1o4i,2.64,4.74,4.74
3p1d,2.64,4.74,4.74
1il5,2.66,4.74,4.74
4y2p,2.66,4.74,4.74
1hgi,2.68,4.74,4.74
2q72,2.68,4.74,4.74
3rxk,2.68,4.74,4.74
4usw,2.69,4.74,4.74
1br5,2.7,4.74,4.74
1gym,2.7,4.74,4.74
1tc1,2.7,4.74,4.74
1ylv,2.7,4.74,4.74
2ha4,2.7,4.74,4.74
2ohk,2.7,4.74,4.74
2ow6,2.7,4.74,4.74
3ftz,2.7,4.74,4.74
3fud,2.7,4.74,4.74
3fuf,2.7,4.74,4.74
3fuh,2.7,4.74,4.74
3gsg,2.7,4.74,4.74
3hvg,2.7,4.74,4.74
3rqw,2.7,4.74,4.74
3sl0,2.7,4.74,4.74
3zsw,2.7,4.74,4.74
3zsz,2.7,4.74,4.74
3zt1,2.7,4.74,4.74
4h4b,2.7,4.74,4.74
4okp,2.7,4.74,4.74
4old,2.7,4.74,4.74
4wks,2.7,4.74,4.74
4ypf,2.7,4.74,4.74
4yrc,2.7,4.74,4.74
4yrg,2.7,4.74,4.74
4yrr,2.7,4.74,4.74
5aok,2.7,4.74,4.74
4kpz,2.71,4.74,4.74
3p4r,2.72,4.74,4.74
1ny2,2.76,4.74,4.74
2p3o,2.77,4.74,4.74
4a4h,2.77,4.74,4.74
4g5y,2.77,4.74,4.74
4urv,2.77,4.74,4.74
2yiv,2.78,4.74,4.74
3ftw,2.78,4.74,4.74
4yrt,2.78,4.74,4.74
2bge,2.8,4.74,4.74
3zt4,2.8,4.74,4.74
4kz8,2.8,4.74,4.74
4urw,2.8,4.74,4.74
4yw2,2.8,4.74,4.74
4eh4,2.81,4.74,4.74
4oyt,2.81,4.74,4.74
1p17,2.82,4.74,4.74
2rib,2.82,4.74,4.74
2w6z,2.82,4.74,4.74
2xj0,2.82,4.74,4.74
2yc0,2.82,4.74,4.74
3fue,2.82,4.74,4.74
4pb1,2.82,4.74,4.74
4z46,2.82,4.74,4.74
4yz5,2.83,4.74,4.74
3fu3,2.84,4.74,4.74
4cgj,2.84,4.74,4.74
1il4,2.85,4.74,4.74
2a29,2.85,4.74,4.74
2ork,2.85,4.74,4.74
3atk,2.85,4.74,4.74
3k3g,2.85,4.74,4.74
3rxa,2.85,4.74,4.74
4luv,2.85,4.74,4.74
4mlt,2.85,4.74,4.74
4x47,2.85,4.74,4.74
4pd5,2.86,4.74,4.74
4fgz,2.87,4.74,4.74
4fgz,2.88,4.74,4.74
2woq,2.88,4.74,4.74
4ucv,2.88,4.74,4.74
2k2r,2.89,4.74,4.74
2wpb,2.89,4.74,4.74
2wtx,2.89,4.74,4.74
3f36,2.89,4.74,4.74
4cd8,2.89,4.74,4.74
4urx,2.89,4.74,4.74
5aes,2.89,4.74,4.74
5aom,2.9,4.74,4.74
1ms0,2.91,4.74,4.74
2ay4,2.91,4.74,4.74
2pri,2.91,4.74,4.74
4kc1,2.91,4.74,4.74
1o4k,2.92,4.74,4.74
1p6e,2.92,4.74,4.74
1zp5,2.92,4.74,4.74
2aa9,2.92,4.74,4.74
2aay,2.92,4.74,4.74
2fkf,2.92,4.74,4.74
2fwp,2.92,4.74,4.74
2kfg,2.92,4.74,4.74
3iaf,2.92,4.74,4.74
4x14,2.92,4.74,4.74
5c0k,2.92,4.74,4.74
3ftv,2.93,4.74,4.74
1p6d,2.94,4.74,4.74
4y62,2.95,4.74,4.74
1ykp,2.96,4.74,4.74
2br6,2.96,4.74,4.74
2kdh,2.96,4.74,4.74
3img,2.96,4.74,4.74
4bgy,2.96,4.74,4.74
4k3l,2.96,4.74,4.74
2rnw,2.98,4.74,4.74
3ump,2.99,4.74,4.74
1hqg,3,4.74,4.74
1mcz,3,4.74,4.74
1ux7,3,4.74,4.74
1w7h,3,4.74,4.74
1wbg,3,4.74,4.74
1wbo,3,4.74,4.74
1yc5,3,4.74,4.74
1z9h,3,4.74,4.74
1zm7,3,4.74,4.74
2f1b,3,4.74,4.74
2r0y,3,4.74,4.74
2vin,3,4.74,4.74
2vtm,3,4.74,4.74
2wa3,3,4.74,4.74
2xgm,3,4.74,4.74
2xgo,3,4.74,4.74
2xp3,3,4.74,4.74
2ych,3,4.74,4.74
3ap7,3,4.74,4.74
3d9o,3,4.74,4.74
3eka,3,4.74,4.74
3grj,3,4.74,4.74
3nf8,3,4.74,4.74
3nk8,3,4.74,4.74
3ob0,3,4.74,4.74
4fe9,3,4.74,4.74
4k5z,3,4.74,4.74
4k64,3,4.74,4.74
4k72,3,4.74,4.74
4l5j,3,4.74,4.74
4lkh,3,4.74,4.74
4m5r,3,4.74,4.74
4oyp,3,4.74,4.74
4oz2,3,4.74,4.74
4txs,3,4.74,4.74
4wh9,3,4.74,4.74
5a5o,3,4.74,4.74
5c7b,3,4.74,4.74
1g42,3.01,4.74,4.74
3dc2,3.02,4.74,4.74
3fuk,3.02,4.74,4.74
4xm8,3.02,4.74,4.74
1ws5,3.03,4.74,4.74
2ggu,3.03,4.74,4.74
3esj,3.03,4.74,4.74
3ay0,3.04,4.74,4.74
3zvv,3.04,4.74,4.74
1gzg,3.05,4.74,4.74
1o41,3.05,4.74,4.74
1pum,3.05,4.74,4.74
2ohl,3.05,4.74,4.74
2vcw,3.05,4.74,4.74
4guj,3.05,4.74,4.74
4u5v,3.05,4.74,4.74
5abe,3.05,4.74,4.74
3atm,3.06,4.74,4.74
3hw1,3.06,4.74,4.74
3rxi,3.06,4.74,4.74
3rxj,3.06,4.74,4.74
4csy,3.06,4.74,4.74
4nyi,3.06,4.74,4.74
1s26,3.07,4.74,4.74
4yrs,3.07,4.74,4.74
1hiy,3.08,4.74,4.74
1mdl,3.09,4.74,4.74
1ugw,3.09,4.74,4.74
4eh5,3.09,4.74,4.74
1a5v,3.1,4.74,4.74
1af2,3.1,4.74,4.74
1pu7,3.1,4.74,4.74
1pu8,3.1,4.74,4.74
1swi,3.1,4.74,4.74
3mo8,3.1,4.74,4.74
4j79,3.1,4.74,4.74
4pxf,3.1,4.74,4.74
4y2j,3.1,4.74,4.74
1k2i,3.11,4.74,4.74
1uod,3.11,4.74,4.74
2ay6,3.11,4.74,4.74
2lto,3.11,4.74,4.74
2lwi,3.11,4.74,4.74
3msj,3.11,4.74,4.74
4aj1,3.11,4.74,4.74
4ajk,3.11,4.74,4.74
4gbz,3.11,4.74,4.74
4wf4,3.11,4.74,4.74
1h9l,3.12,4.74,4.74
2ksb,3.12,4.74,4.74
4uct,3.12,4.74,4.74
2f1a,3.14,4.74,4.74
3odk,3.14,4.74,4.74
1eei,3.15,4.74,4.74
1k9q,3.15,4.74,4.74
1noi,3.15,4.74,4.74
1noj,3.15,4.74,4.74
1nok,3.15,4.74,4.74
1rin,3.15,4.74,4.74
2fr8,3.15,4.74,4.74
2p8n,3.15,4.74,4.74
3cgy,3.15,4.74,4.74
4x0z,3.15,4.74,4.74
3ad8,3.16,4.74,4.74
3ecn,3.16,4.74,4.74
3f35,3.16,4.74,4.74
3lk0,3.16,4.74,4.74
4hnc,3.17,4.74,4.74
4uce,3.17,4.74,4.74
4x3i,3.17,4.74,4.74
1b9s,3.18,4.74,4.74
2wik,3.18,4.74,4.74
3kid,3.18,4.74,4.74
2zdx,3.19,4.74,4.74
4mlx,3.19,4.74,4.74
1axz,3.2,4.74,4.74
2w0x,3.2,4.74,4.74
2wij,3.2,4.74,4.74
3kab,3.2,4.74,4.74
4elc,3.2,4.74,4.74
5d9p,3.2,4.74,4.74
3fty,3.21,4.74,4.74
6tim,3.21,4.74,4.74
1evh,3.22,4.74,4.74
1q5l,3.22,4.74,4.74
1qwu,3.22,4.74,4.74
1x6u,3.22,4.74,4.74
2bv4,3.22,4.74,4.74
3i8t,3.22,4.74,4.74
4tyl,3.22,4.74,4.74
2gmk,3.23,4.74,4.74
4kc4,3.23,4.74,4.74
1gx4,3.24,4.74,4.74
2r8q,3.24,4.74,4.74
4k60,3.24,4.74,4.74
4luo,3.24,4.74,4.74
4y2u,3.24,4.74,4.74
1l5s,3.26,4.74,4.74
4egh,3.26,4.74,4.74
4k66,3.26,4.74,4.74
4wkt,3.26,4.74,4.74
1axr,3.27,4.74,4.74
4jbl,3.27,4.74,4.74
1g9t,3.28,4.74,4.74
1x07,3.28,4.74,4.74
2xgs,3.28,4.74,4.74
3ms4,3.28,4.74,4.74
4eh7,3.28,4.74,4.74
4yv0,3.28,4.74,4.74
4f20,3.29,4.74,4.74
1k9r,3.3,4.74,4.74
1lt6,3.3,4.74,4.74
1o4e,3.3,4.74,4.74
1zd2,3.3,4.74,4.74
2aq7,3.3,4.74,4.74
2aqb,3.3,4.74,4.74
2hd1,3.3,4.74,4.74
2uxx,3.3,4.74,4.74
2w0s,3.3,4.74,4.74
2xml,3.3,4.74,4.74
3avh,3.3,4.74,4.74
3avi,3.3,4.74,4.74
3avk,3.3,4.74,4.74
3avm,3.3,4.74,4.74
3avn,3.3,4.74,4.74
3ch9,3.3,4.74,4.74
3gv6,3.3,4.74,4.74
3h2c,3.3,4.74,4.74
3i90,3.3,4.74,4.74
3i91,3.3,4.74,4.74
3l7g,3.3,4.74,4.74
3n1v,3.3,4.74,4.74
3n1w,3.3,4.74,4.74
3n3l,3.3,4.74,4.74
3n45,3.3,4.74,4.74
4b6f,3.3,4.74,4.74
4gj8,3.3,4.74,4.74
4gj9,3.3,4.74,4.74
4ojq,3.3,4.74,4.74
4oue,3.3,4.74,4.74
4tz8,3.3,4.74,4.74
4u6e,3.3,4.74,4.74
4ucr,3.3,4.74,4.74
4x13,3.3,4.74,4.74
3msc,3.31,4.74,4.74
4kc2,3.31,4.74,4.74
5c7a,3.31,4.74,4.74
4a4e,3.32,4.74,4.74
2a3b,3.33,4.74,4.74
4k2y,3.33,4.74,4.74
4pd9,3.33,4.74,4.74
2xoi,3.34,4.74,4.74
4gwk,3.34,4.74,4.74
4yuy,3.34,4.74,4.74
2qcm,3.35,4.74,4.74
4gnf,3.35,4.74,4.74
4joh,3.35,4.74,4.74
4ucu,3.35,4.74,4.74
4wet,3.35,4.74,4.74
1ahy,3.36,4.74,4.74
2pvv,3.36,4.74,4.74
3zzh,3.36,4.74,4.74
2c6g,3.37,4.74,4.74
4mrd,3.37,4.74,4.74
1z34,3.38,4.74,4.74
2j9h,3.39,4.74,4.74
3mrx,3.39,4.74,4.74
1il9,3.4,4.74,4.74
1jt1,3.4,4.74,4.74
220l,3.4,4.74,4.74
2jbu,3.4,4.74,4.74
2jqk,3.4,4.74,4.74
2q8i,3.4,4.74,4.74
2qcd,3.4,4.74,4.74
2rnx,3.4,4.74,4.74
3k26,3.4,4.74,4.74
5afl,3.4,4.74,4.74
3nba,3.41,4.74,4.74
4yas,3.41,4.74,4.74
1hyz,3.42,4.74,4.74
3kqp,3.42,4.74,4.74
3muk,3.42,4.74,4.74
3px9,3.42,4.74,4.74
4c71,3.42,4.74,4.74
4mi9,3.42,4.74,4.74
1kti,3.43,4.74,4.74
1ywi,3.43,4.74,4.74
2c57,3.43,4.74,4.74
2wig,3.43,4.74,4.74
3ms7,3.43,4.74,4.74
4k67,3.43,4.74,4.74
4kw6,3.43,4.74,4.74
2xp5,3.44,4.74,4.74
3as2,3.44,4.74,4.74
4b4n,3.44,4.74,4.74
4c6z,3.45,4.74,4.74
1t48,3.46,4.74,4.74
1wcc,3.46,4.74,4.74
2wi2,3.46,4.74,4.74
2wi3,3.46,4.74,4.74
2zfi,3.46,4.74,4.74
3blu,3.46,4.74,4.74
3dla,3.46,4.74,4.74
3nil,3.46,4.74,4.74
3nuy,3.46,4.74,4.74
4bhf,3.46,4.74,4.74
4gby,3.46,4.74,4.74
4nrq,3.46,4.74,4.74
4qp6,3.46,4.74,4.74
3mtd,3.47,4.74,4.74
3nf7,3.47,4.74,4.74
4d2d,3.47,4.74,4.74
5ai4,3.47,4.74,4.74
1osv,3.48,4.74,4.74
1tsi,3.48,4.74,4.74
2c90,3.48,4.74,4.74
2f10,3.48,4.74,4.74
3d9m,3.48,4.74,4.74
1gzc,3.49,4.74,4.74
1pzj,3.49,4.74,4.74
2ggx,3.49,4.74,4.74
2qcf,3.49,4.74,4.74
3d1v,3.49,4.74,4.74
4nyj,3.49,4.74,4.74
5ak6,3.49,4.74,4.74
3fcl,3.5,4.74,4.74
4n3w,3.5,4.74,4.74
4wey,3.5,4.74,4.74
2ohm,3.51,4.74,4.74
3nus,3.51,4.74,4.74
4lpf,3.51,4.74,4.74
1imx,3.52,4.74,4.74
1o4d,3.52,4.74,4.74
1o4f,3.52,4.74,4.74
1ysg,3.52,4.74,4.74
3c14,3.52,4.74,4.74
3qw6,3.52,4.74,4.74
3zlv,3.52,4.74,4.74
3zly,3.52,4.74,4.74
4g93,3.52,4.74,4.74
4hv7,3.52,4.74,4.74
2b4m,3.53,4.74,4.74
2y67,3.53,4.74,4.74
3avf,3.53,4.74,4.74
3h06,3.53,4.74,4.74
3nf6,3.53,4.74,4.74
4eh3,3.53,4.74,4.74
4nmr,3.53,4.74,4.74
4orx,3.53,4.74,4.74
4ory,3.53,4.74,4.74
1vjd,3.54,4.74,4.74
2jbv,3.54,4.74,4.74
3blt,3.54,4.74,4.74
3bm8,3.54,4.74,4.74
3nf9,3.54,4.74,4.74
4gng,3.54,4.74,4.74
2ay3,3.55,4.74,4.74
2clf,3.55,4.74,4.74
2clm,3.55,4.74,4.74
2hwg,3.55,4.74,4.74
2xah,3.55,4.74,4.74
3pjg,3.55,4.74,4.74
3qvu,3.55,4.74,4.74
4k3m,3.55,4.74,4.74
4mjr,3.55,4.74,4.74
4n98,3.55,4.74,4.74
4nym,3.55,4.74,4.74
5av0,3.55,4.74,4.74
2hrm,3.56,4.74,4.74
2lsp,3.56,4.74,4.74
4joe,3.56,4.74,4.74
1jwm,3.57,4.74,4.74
2l1r,3.57,4.74,4.74
2rly,3.57,4.74,4.74
3ej5,3.57,4.74,4.74
4xm7,3.57,4.74,4.74
1vjc,3.58,4.74,4.74
4g19,3.58,4.74,4.74
4y63,3.58,4.74,4.74
1gww,3.59,4.74,4.74
2nn8,3.59,4.74,4.74
2pgj,3.59,4.74,4.74
2pgl,3.59,4.74,4.74
3sl1,3.59,4.74,4.74
4cd6,3.59,4.74,4.74
4k3r,3.59,4.74,4.74
1bo5,3.6,4.74,4.74
1d1p,3.6,4.74,4.74
1qw7,3.6,4.74,4.74
1uys,3.6,4.74,4.74
1w31,3.6,4.74,4.74
1zd4,3.6,4.74,4.74
2q6h,3.6,4.74,4.74
2qch,3.6,4.74,4.74
2wp1,3.6,4.74,4.74
2y68,3.6,4.74,4.74
3bb1,3.6,4.74,4.74
3kn0,3.6,4.74,4.74
3pke,3.6,4.74,4.74
3t2p,3.6,4.74,4.74
4meo,3.6,4.74,4.74
4meq,3.6,4.74,4.74
1g9s,3.61,4.74,4.74
2kff,3.61,4.74,4.74
2l98,3.61,4.74,4.74
2vfz,3.61,4.74,4.74
3ftu,3.61,4.74,4.74
4a4c,3.61,4.74,4.74
4ln2,3.61,4.74,4.74
4qp1,3.61,4.74,4.74
5c91,3.61,4.74,4.74
3pcc,3.62,4.74,4.74
3st6,3.62,4.74,4.74
3udj,3.62,4.74,4.74
4nrc,3.62,4.74,4.74
4wy3,3.62,4.74,4.74
4yym,3.62,4.74,4.74
3fuj,3.63,4.74,4.74
3jpx,3.63,4.74,4.74
4mm7,3.63,4.74,4.74
1j5i,3.64,4.74,4.74
2qwg,3.64,4.74,4.74
3px8,3.64,4.74,4.74
4bdi,3.64,4.74,4.74
4gui,3.64,4.74,4.74
1b9v,3.65,4.74,4.74
3vws,3.65,4.74,4.74
4y4v,3.65,4.74,4.74
1l6y,3.66,4.74,4.74
2rny,3.66,4.74,4.74
3ex6,3.66,4.74,4.74
3iny,3.66,4.74,4.74
3tsd,3.66,4.74,4.74
3h2m,3.67,4.74,4.74
4lnp,3.67,4.74,4.74
4mww,3.67,4.74,4.74
4n99,3.67,4.74,4.74
1qsc,3.68,4.74,4.74
2za3,3.68,4.74,4.74
4oru,3.68,4.74,4.74
1l2z,3.69,4.74,4.74
3clp,3.69,4.74,4.74
4gwi,3.69,4.74,4.74
5ai0,3.69,4.74,4.74
1bcj,3.7,4.74,4.74
1bcj,3.7,4.74,4.74
1fwu,3.7,4.74,4.74
1gz3,3.7,4.74,4.74
1h0r,3.7,4.74,4.74
1i43,3.7,4.74,4.74
1uy6,3.7,4.74,4.74
1uy7,3.7,4.74,4.74
1uyd,3.7,4.74,4.74
1uye,3.7,4.74,4.74
1w70,3.7,4.74,4.74
2bjm,3.7,4.74,4.74
2bmz,3.7,4.74,4.74
3ex2,3.7,4.74,4.74
3ful,3.7,4.74,4.74
3kd7,3.7,4.74,4.74
3mrt,3.7,4.74,4.74
3zlw,3.7,4.74,4.74
4ayt,3.7,4.74,4.74
4ayx,3.7,4.74,4.74
4b2d,3.7,4.74,4.74
4l7h,3.7,4.74,4.74
4l7j,3.7,4.74,4.74
4o4k,3.7,4.74,4.74
4pji,3.7,4.74,4.74
5c6o,3.7,4.74,4.74
5c6p,3.7,4.74,4.74
3wkc,3.71,4.74,4.74
4k5m,3.71,4.74,4.74
4mjq,3.71,4.74,4.74
1fwv,3.72,4.74,4.74
1ugy,3.72,4.74,4.74
2h9p,3.72,4.74,4.74
2yde,3.72,4.74,4.74
3ms2,3.72,4.74,4.74
4jog,3.72,4.74,4.74
4tk1,3.72,4.74,4.74
4tk2,3.72,4.74,4.74
1b2m,3.73,4.74,4.74
2vta,3.73,4.74,4.74
3ati,3.73,4.74,4.74
3h91,3.73,4.74,4.74
3rxd,3.73,4.74,4.74
4y5s,3.73,4.74,4.74
1oh4,3.74,4.74,4.74
2dwx,3.74,4.74,4.74
2xp4,3.74,4.74,4.74
3kpv,3.74,4.74,4.74
3v30,3.74,4.74,4.74
4bv2,3.74,4.74,4.74
4pre,3.74,4.74,4.74
4yux,3.74,4.74,4.74
2iyf,3.75,4.74,4.74
3gep,3.75,4.74,4.74
4kov,3.75,4.74,4.74
4c6x,3.76,4.74,4.74
1mpl,3.77,4.74,4.74
2uuo,3.77,4.74,4.74
2xaj,3.77,4.74,4.74
3fum,3.77,4.74,4.74
3kqm,3.77,4.74,4.74
3s0j,3.77,4.74,4.74
3vi2,3.77,4.74,4.74
3wkd,3.77,4.74,4.74
4j86,3.77,4.74,4.74
4k8o,3.77,4.74,4.74
4w5a,3.77,4.74,4.74
3qi3,3.78,4.74,4.74
4dhm,3.78,4.74,4.74
4klv,3.78,4.74,4.74
4tnw,3.78,4.74,4.74
1wbv,3.79,4.74,4.74
2xtk,3.79,4.74,4.74
4xqb,3.79,4.74,4.74
1ybo,3.8,4.74,4.74
2ggd,3.8,4.74,4.74
3as3,3.8,4.74,4.74
3nfk,3.8,4.74,4.74
3q2m,3.8,4.74,4.74
3vv6,3.8,4.74,4.74
3zlx,3.8,4.74,4.74
5aib,3.8,4.74,4.74
2jup,3.81,4.74,4.74
2o9a,3.81,4.74,4.74
2ou7,3.81,4.74,4.74
3lce,3.81,4.74,4.74
4q9s,3.81,4.74,4.74
2gfj,3.82,4.74,4.74
3sgt,3.82,4.74,4.74
3tiz,3.82,4.74,4.74
3ud5,3.82,4.74,4.74
4egi,3.82,4.74,4.74
4fl3,3.82,4.74,4.74
4y2t,3.82,4.74,4.74
5d7e,3.82,4.74,4.74
1r0x,3.83,4.74,4.74
1r10,3.83,4.74,4.74
1yhm,3.83,4.74,4.74
2osf,3.83,4.74,4.74
4ozo,3.83,4.74,4.74
1bky,3.84,4.74,4.74
2k4i,3.84,4.74,4.74
3ck8,3.84,4.74,4.74
3ril,3.84,4.74,4.74
4bt9,3.84,4.74,4.74
4ce2,3.84,4.74,4.74
4d9p,3.84,4.74,4.74
4kv9,3.84,4.74,4.74
5acw,3.84,4.74,4.74
1n1t,3.85,4.74,4.74
1n1v,3.85,4.74,4.74
1sre,3.85,4.74,4.74
1vcu,3.85,4.74,4.74
2vhq,3.85,4.74,4.74
3kqo,3.85,4.74,4.74
4ivk,3.85,4.74,4.74
3rtx,3.86,4.74,4.74
4bnt,3.86,4.74,4.74
2f6y,3.87,4.74,4.74
2y55,3.87,4.74,4.74
3h03,3.87,4.74,4.74
4ab8,3.87,4.74,4.74
4ijl,3.87,4.74,4.74
3dda,3.88,4.74,4.74
4prb,3.88,4.74,4.74
5afk,3.88,4.74,4.74
1xfv,3.89,4.74,4.74
2x85,3.89,4.74,4.74
2xiz,3.89,4.74,4.74
3src,3.89,4.74,4.74
3ti1,3.89,4.74,4.74
3u4i,3.89,4.74,4.74
4dgb,3.89,4.74,4.74
4dhn,3.89,4.74,4.74
1exw,3.9,4.74,4.74
1slg,3.9,4.74,4.74
2xel,3.9,4.74,4.74
3wk7,3.9,4.74,4.74
3zj8,3.9,4.74,4.74
3zvw,3.9,4.74,4.74
4k5n,3.9,4.74,4.74
4kqq,3.9,4.74,4.74
4kqr,3.9,4.74,4.74
4men,3.9,4.74,4.74
5ai8,3.9,4.74,4.74
9icd,3.9,4.74,4.74
2oei,3.91,4.74,4.74
2vte,3.91,4.74,4.74
3l5b,3.91,4.74,4.74
1ahx,3.92,4.74,4.74
2l8r,3.92,4.74,4.74
2vth,3.92,4.74,4.74
2yim,3.92,4.74,4.74
3fgc,3.92,4.74,4.74
3gk4,3.92,4.74,4.74
3uih,3.92,4.74,4.74
3zhf,3.92,4.74,4.74
